3314, ESTEP, LARA, female
3315, STEPP, LANE, male
3317, EPPS, LANETTE, female
3318, REA, LEA, female
3324, TAN, ESTELA, female
3325, PARENT, PAT, male
3326, LE, ANETTE, female
3327, LEE, NA, female
3329, ESTEP, ART, male
3330, EAST, ART, male
3336, REES, PAT, female
3336, TEEL, STAN, male
3337, STEPP, RAE, female
3339, TAN, RAE, female
3345, PARENT, ELSA, female
3347, SAPP, TEENA, female
3348, ESTEP, LANE, male
3349, EAST, LANE, male
3349, SEAL, PETRA, female
3356, SERNA, LETA, female
3366, SAPP, ENA, female
3366, STEELE, TRAN, female
3370, ESTEP, RAE, female
3371, EAST, RAE, female
3377, EASTER, LEA, female
3381, PATE, LERA, female
3382, RAPP, LEA, female
3382, REA, LANE, male
3384, REES, AL, male
3386, PEASE, ERNA, female
3389, REA, ESTELA, female
3393, ARNETT, LES, male
3396, SPEER, LEN, male
3402, SEAL, RENE, female
3406, REES, PAT, male
3407, TEEL, PETRA, female
3411, PLATT, RENEA, female
3412, STREET, ELANA, female
3419, LEAR, SEAN, male
3419, REES, LANA, female
3424, STEEN, LETA, female
3426, LANE, PA, female
3433, EPPS, ELANA, female
3438, SEAL, ART, male
3439, STEPP, EARLE, male
3441, EASTER, LANE, male
3441, EPPS, RENEA, female
3441, PETERS, PA, female
3441, TAN, EARLE, male
3442, SAPP, ELNA, female
3446, RAPP, LANE, male
3448, PEASE, LETA, female
3450, ARNETT, SAL, male
3453, RAPP, ESTELA, female
3468, REA, SELENA, female
3473, EAST, EARLE, male
3476, SAPP, LANETTE, female
3479, SEAL, RAE, female
3483, STREET, ALENA, female
3483, TAN, LES, male
3485, REES, ETTA, female
3486, PATE, SEAN, female
3487, SALTER, TEENA, female
3492, ARNETT, LESA, female
3496, TEEL, ART, male
3498, STEELE, ARA, female
3500, PETERS, NA, female
3504, EPPS, ALENA, female
3506, SALTER, ENA, female
3506, SPEER, TANA, female
3510, STATEN, EARL, male
3515, NEAL, PA, female
3515, STEPP, ERNA, female
3518, NETTLES, RAE, female
3521, SPEAR, LETA, female
3531, LE, SEAN, female
3532, RAPP, SELENA, female
3533, PARENT, LEA, female
3535, STATEN, LEE, male
3537, TEEL, RAE, female
3540, TAN, SAL, male
3541, PATTEN, PERLA, female
3542, PENA, PA, female
3548, ESTEP, ERNA, female
3548, REA, LES, male
3549, EAST, ERNA, female
3550, TRAPP, SEAN, male
3552, ERNST, ALETA, female
3556, STEELE, PA, female
3561, PEASE, LEN, male
3568, REES, ALTA, female
3572, LEA, PETER, male
3574, STEEN, TERA, female
3575, PATE, LANE, female
3577, STEPP, LETA, female
3579, TAN, LETA, female
3579, TRAPP, LEE, male
3582, TAN, LESA, female
3583, LEA, TERESA, female
3591, PEASE, ARLEN, male
3592, TATE, PA, female
3598, PEASE, TERA, female
3600, SAPP, RENEA, female
3604, EARL, TEENA, female
3604, PARENT, ESTELA, female
3605, REA, SAL, male
3610, ESTEP, LETA, female
3610, LEE, AN, female
3611, EAST, LETA, female
3611, PATE, LE, female
3612, RAPP, LES, male
3614, REES, LEA, female
3615, LEA, ERNEST, male
3615, STEELE, NA, female
3616, REESE, PA, female
3619, STEPP, RENAE, female
3623, EARL, ENA, female
3623, LEA, SEAN, male
3632, TATE, ALEEN, female
3633, LEE, SENA, female
3634, SPEAR, LEN, male
3636, STATEN, PEARL, female
3637, PETERS, ELA, female
3638, LEE, REA, female
3638, STEEN, RETA, female
3640, EARLE, SEAN, male
3644, EPPS, ARLETTE, female
3644, REA, LETA, female
3645, PATEL, TRAN, female
3645, SEE, ALAN, male
3647, PETER, ALAN, male
3647, REA, LESA, female
3650, PETER, SEAN, male
3650, TRENT, ELSE, female
3651, TATE, NA, female
3652, SEE, EARL, male
3653, EAST, RENAE, female
3656, SPEER, TENA, female
3657, SEAL, ERNA, female
3661, STEPP, ARLEEN, female
3662, PEASE, RETA, female
3669, RAPP, SAL, male
3675, REESE, NA, female
3678, REES, LANE, male
3681, PRATT, PA, female
3690, LEAR, PETE, male
3690, SPEAR, ALENE, female
3690, STEPP, LEN, male
3695, EAST, ARLEEN, female
3703, EASTER, LETA, female
3707, EPPS, RANA, female
3708, RAPP, LETA, female
3708, SPEER, LAN, female
3711, RAPP, LESA, female
3712, LEAR, PAT, female
3715, TEEL, ERNA, female
3715, TRAPP, LENA, female
3720, STEPP, ARLEN, male
3720, TRAN, PA, female
3721, PRATT, ALEEN, female
3723, ESTEP, LEN, male
3724, EAST, LEN, male
3725, EPPS, RETTA, female
3727, STEPP, TERA, female
3729, TAN, TERA, female
3735, SEE, ANA, female
3737, PETER, ANA, female
3738, PENA, ELA, female
