RANK, LAST NAME, FIRST NAME, GENDER
1247, BARNES, REY, male
1247, BYERS, RENE, male
1247, LE, KAY, female
1248, BARRY, ELSA, female
1248, NEAL, REYES, male
1248, RAY, ARLEEN, female
1248, SPEARS, REBA, female
1249, SALAS, KERRY, female
1250, BASS, ALANA, female
1250, KESSLER, RYAN, male
1250, PENA, SAL, male
1251, SYKES, ELENA, female
1253, BARR, KELSEY, female
1253, LEE, RYAN, female
1254, BRAY, AL, male
1254, PARKS, BERYL, female
1255, PARK, ALANA, female
1256, BARNES, KASEY, male
1256, SEARS, ELENA, female
1258, PARKS, SAL, male
1258, SPARKS, ALANA, female
1262, LAKE, BEN, male
1262, LE, PERRY, male
1264, AYALA, RAE, female
1266, AKERS, ANA, female
1266, BAKER, RYAN, female
1266, KEY, LANA, female
1267, BASS, EARLENE, female
1268, BARKER, SAL, male
1268, BEAN, KELSEY, female
1270, LE, RENE, male
1272, BERRY, LEN, male
1272, PARK, EARLENE, female
1273, KEY, ELSA, female
1274, REYES, ASA, male
1274, SYKES, AL, male
1275, AYALA, SERENA, female
1275, PENA, REYES, male
1275, REYES, ARLEN, male
1275, SPARKS, EARLENE, female
1276, PARK, SELENA, female
1276, PAYNE, BESS, female
1277, KANE, REBA, female
1277, PENA, ALBA, female
1277, RAY, LEN, male
1278, PARKS, REYNA, female
1278, REYNA, PEARL, female
1279, NEELY, SARA, female
1279, SEARS, AL, male
1280, BASS, KENYA, female
1281, KEY, ABEL, male
1282, PENA, ELBA, female
1282, REYNA, KARL, male
1283, PARKS, REYES, male
1283, RAY, BESS, female
1284, BAKER, ELYSE, female
1285, PARKS, ALBA, female
1289, BRAY, LANA, female
1289, BYERS, NEAL, male
1290, PARKS, ELBA, female
1292, LANE, BESS, female
1292, PENA, LESA, female
1293, BASS, KAYE, female
1293, BYERS, LEE, female
1293, REESE, KARYN, female
1294, PARKER, ELYSE, female
1296, BRAY, ELSA, female
1297, AKERS, BEN, male
1299, BARKER, PANSY, female
1299, PAYNE, ASA, male
1300, KEY, RENA, female
1300, PARKS, LESA, female
1301, BERRY, ASA, male
1301, SALAS, RENA, female
1303, KESSLER, BRYAN, male
1306, RAY, ASA, male
1307, RAY, ARLEN, male
1308, BYRNE, SARA, female
1309, AKERS, PEARL, female
1309, BASS, EARLE, male
1309, SYKES, LANA, female
1310, AKERS, ARLENE, female
1310, BARKER, LESA, female
1313, RYAN, BESS, female
1314, PARK, EARLE, male
1314, SEARS, LANA, female
1315, LANE, ASA, male
1315, PARK, ABE, male
1317, SPARKS, EARLE, male
1318, SPARKS, ABE, male
1321, LARSEN, RAE, female
1321, LE, KERRY, male
1322, BYERS, KARLA, female
1322, BYRNE, EARL, male
1323, BEASLEY, RAE, female
1323, BRAY, RENA, female
1324, REESE, SAL, male
1324, SYKES, ABEL, male
1326, BARNES, ELYSE, female
1327, KEY, REBA, female
1328, BERRY, ALENE, female
1328, SALAS, REBA, female
1329, SEARS, ABEL, male
1332, BLAKE, ERNA, female
1333, BYERS, KARA, female
1333, KESSLER, RAY, male
1333, RAY, ALENE, female
1334, BASS, PARKER, male
1336, RYAN, ASA, male
1337, LAKE, PERRY, male
1339, PARKS, RENAE, female
1340, BRYAN, EARLE, male
